step,time,v,gamma,psi,alt,lon,lat,cl,cd,mach,temperature,alpha
37,185,1188.163735,-10.26943073,39.76514102,38762.90075,180.5734162,3.965939959,0.2097281,1.45441,3.691208757,257.872742,-10.26943073
38,190,1052.124493,-11.44180634,39.75923037,37701.91446,180.6116062,3.997639422,0.2338342,1.450372,3.288877922,254.6999283,-11.44180634
39,195,929.91348,-12.74599205,39.75232756,36657.83047,180.6452534,4.025560803,0.2615627,1.450922,2.924836563,251.5775872,-12.74599205
40,200,820.7380329,-14.195133,39.74437621,35632.64064,180.6748179,4.050087048,0.2931038,1.454653,2.597324334,248.5116867,-14.195133
41,205,724.1123905,-15.80348436,39.73530792,34627.61131,180.7007378,4.071582689,0.3283659,1.456373,2.305525449,245.5060419,-15.80348436
42,210,639.27976,-17.57888009,39.72504209,33643.29087,180.7234291,4.090393827,0.3680263,1.456927,2.047737727,242.5623064,-17.57888009
43,215,565.3449167,-19.52043146,39.7134873,32679.92127,180.743279,4.106842816,0.4125804,1.456509,1.821761555,239.6812082,-19.52043146
44,220,501.39044,-21.61573244,39.70054445,31737.66049,180.7606446,4.1212266,0.4622296,1.454095,1.625257835,236.86322,-21.61573244
45,225,446.5309681,-23.84152932,39.68611118,30816.57621,180.7758531,4.13381732,0.5160838,1.447621,1.455921573,234.1085486,-23.84152932
46,230,399.8294772,-26.16431505,39.67008687,29916.58852,180.7892018,4.144862235,0.5722695,1.436749,1.311209996,231.4169594,-26.16431505
47,235,359.869068,-28.90484856,39.65226345,29032.82948,180.8009299,4.154560325,0.5722695,1.436749,1.186959942,228.7741662,-28.90484856
48,240,327.1839099,-31.16612133,39.63259287,28166.62987,180.8112921,4.163123093,0.6952611,1.392665,1.085316669,226.1835403,-31.16612133
49,245,298.8473529,-33.6973788,39.61106439,27320.80014,180.8205013,4.170727452,0.6952611,1.392665,0.996910406,223.6539822,-33.6973788
50,250,277.4776741,-35.83609585,39.58763823,26491.82996,180.828759,4.177540617,0.7655911,1.290924,0.930797477,221.1748611,-35.83609585
51,255,258.0805439,-37.97597415,39.56238345,25680.51796,180.8362318,4.183700799,0.7655911,1.290924,0.870518018,218.7484929,-37.97597415
52,260,248.3454145,-40.33801656,39.53511524,24871.96149,180.8430893,4.189348444,0.701148,1.045173,0.84165042,216.69,-40.33801656
53,265,237.4432003,-42.13966122,39.50595274,24062.84754,180.8494716,4.194599457,0.701148,1.045173,0.804702473,216.69,-42.13966122
54,270,226.1442377,-43.56880418,39.47517406,23266.30632,180.8554129,4.199482376,0.701148,1.045173,0.766409934,216.69,-43.56880418
55,275,219.8545684,-44.27819481,39.44322615,22483.72876,180.8610334,4.204096443,0.7215651,0.8994423,0.745094047,216.69,-44.27819481
56,280,211.5776235,-44.46678366,39.41073854,21720.95848,180.866433,4.208524041,0.7215651,0.8994423,0.71704322,216.69,-44.46678366
57,285,201.9409896,-44.35793351,39.3780659,20989.74587,180.8716081,4.212762619,0.7215651,0.8994423,0.684384365,216.69,-44.35793351
58,290,191.432331,-43.76664557,39.34555456,20298.89667,180.8765638,4.216816773,0.7514547,0.9025131,0.64877019,216.69,-43.76664557
59,295,180.857037,-43.31045864,39.31332761,19651.61311,180.8812975,4.220684791,0.7514547,0.9025131,0.612930186,216.69,-43.31045864
60,300,168.7277301,-42.85344379,39.28128447,19049.72751,180.8857776,4.22434149,0.7783853,0.9555987,0.571823584,216.69,-42.85344379
61,305,158.3659965,-42.93923727,39.24909421,18488.47552,180.8899838,4.227770613,0.7783853,0.9555987,0.536707343,216.69,-42.93923727
62,310,148.081411,-43.04142068,39.21650294,17962.08506,180.8939203,4.230976123,0.8135478,0.9998245,0.501852559,216.69,-43.04142068
63,315,139.9062292,-43.66561495,39.18320949,17463.74169,180.897599,4.233968249,0.8135478,0.9998245,0.474146611,216.69,-43.66561495
64,320,132.6682515,-43.97007263,39.1491567,16987.95745,180.9010567,4.236777224,0.8553835,1.017597,0.449616877,216.69,-43.97007263
65,325,126.7537688,-44.55468819,39.11434826,16531.24496,180.9043244,4.239428547,0.8553835,1.017597,0.429572509,216.69,-44.55468819
66,330,121.8112892,-45.21600448,39.07862449,16088.59167,180.9074236,4.241940018,0.8553835,1.017597,0.41282229,216.69,-45.21600448
67,335,117.3361483,-45.014387,39.04243203,15660.9159,180.910397,4.24434649,0.9072538,1.017179,0.397655897,216.69,-45.014387
68,340,113.1246666,-44.98754005,39.00610926,15249.62389,180.9132695,4.246668222,0.9072538,1.017179,0.383383053,216.69,-44.98754005
69,345,109.2542565,-45.09228974,38.96949364,14852.46797,180.9160407,4.248905166,0.9072538,1.017179,0.370266111,216.69,-45.09228974
70,350,104.7492757,-44.93545338,38.93266051,14470.81658,180.9187107,4.251057592,0.9368075,1.050198,0.35499859,216.69,-44.93545338
71,355,101.0286165,-45.13446532,38.89548733,14103.515,180.921278,4.253124431,0.9368075,1.050198,0.342389159,216.69,-45.13446532
72,360,97.88686906,-45.45665357,38.85775756,13746.70128,180.9237495,4.255111534,0.9368075,1.050198,0.331741678,216.69,-45.45665357
73,365,94.45284847,-45.2885464,38.81970744,13401.43543,180.9261384,4.257029692,0.9713342,1.07222,0.320103674,216.69,-45.2885464
74,370,91.54092897,-45.4095486,38.78138294,13067.56189,180.9284503,4.258883416,0.9713342,1.07222,0.310235087,216.69,-45.4095486
75,375,89.01811445,-45.62608067,38.742608,12742.39413,180.9306891,4.260676032,0.9713342,1.07222,0.301685189,216.69,-45.62608067
76,380,86.74705075,-45.83421872,38.70335707,12424.64672,180.9328615,4.262413086,0.9713342,1.07222,0.293988483,216.69,-45.83421872
77,385,83.88468105,-45.44800205,38.6639899,12117.00417,180.9349764,4.26410175,1.010423,1.098562,0.284287822,216.69,-45.44800205
78,390,81.49771887,-45.475177,38.62449771,11819.59205,180.9370331,4.265741651,1.010423,1.098562,0.276198332,216.69,-45.475177
79,395,79.47040092,-45.64397127,38.58461873,11529.50666,180.9390323,4.267333455,1.010423,1.098562,0.269327688,216.69,-45.64397127
80,400,77.66061732,-45.81394045,38.54430568,11245.44727,180.9409792,4.268881337,1.010423,1.098562,0.263194274,216.69,-45.81394045
81,405,75.10998753,-45.55377943,38.50382192,10969.97038,180.9428756,4.270386913,1.044208,1.134282,0.254381418,216.9774897,-45.55377943
82,410,73.34164806,-45.8069923,38.46299381,10702.08148,180.9447184,4.271847858,1.044208,1.134282,0.247403021,218.716426,-45.8069923
83,415,72.03497208,-46.11776139,38.42159532,10438.25833,180.946515,4.273270005,1.044208,1.134282,0.242049508,220.4288543,-46.11776139
84,420,70.90449888,-46.32076186,38.37971564,10177.6595,180.9482746,4.274660805,1.044208,1.134282,0.23734203,222.1203486,-46.32076186
85,425,69.82255362,-46.42266639,38.33749258,9920.435647,180.9500035,4.276025252,1.044208,1.134282,0.232846903,223.7899574,-46.42266639
86,430,68.20254353,-45.82708386,38.29541728,9669.549093,180.9517095,4.277369624,1.085081,1.154326,0.226621227,225.4187506,-45.82708386
87,435,66.88193281,-45.75366109,38.25343716,9425.255092,180.9533891,4.27869118,1.085081,1.154326,0.221455551,227.0045462,-45.75366109
88,440,65.8035943,-45.84522952,38.21121502,9185.142773,180.9550392,4.279987597,1.085081,1.154326,0.217140878,228.5631023,-45.84522952
